File,Periodo Inizio,Periodo Fine,Numero Giorni,Consumo F1 (kWh),Consumo F2+F3 (kWh),Consumo Totale (kWh),Totale Energia (€)
./electricity/elettricita_2016_06_20160630_20160819.pdf,2016-06-30,2016-08-19,51,71.381,320.167,391.548,119.03
./electricity/elettricita_2016_08_20160801_20161020.pdf,2016-08-01,2016-10-20,81,-9.256,436.833,427.577,134.78
./electricity/elettricita_2016_10_20161012_20161221.pdf,2016-10-12,2016-12-21,71,278.203,815.049,1093.252,309.46
./electricity/elettricita_2017_04_20170401_20170621.pdf,2017-04-01,2017-06-21,82,-70.958,69.285,-1.673,31.64
./electricity/elettricita_2017_06_20170601_20170821.pdf,2017-06-01,2017-08-21,82,3.591,114.787,118.378,59.62
./electricity/elettricita_2017_10_20171001_20171221.pdf,2017-10-01,2017-12-21,82,236.867,797.395,1034.262,224.76
./electricity/elettricita_2017_12_20171201_20180220.pdf,2017-12-01,2018-02-20,82,370.789,1334.192,1704.981,363.95
./electricity/elettricita_2018_02_20180201_20180420.pdf,2018-02-01,2018-04-20,79,205.665,834.494,1040.159,230.91
./electricity/elettricita_2018_04_20180401_20180620.pdf,2018-04-01,2018-06-20,81,-19.415,229.18,209.765,70.29
./electricity/elettricita_2018_10_20181001_20181220.pdf,2018-10-01,2018-12-20,81,191.774,775.709,967.483,224.37
./electricity/elettricita_2018_12_20181201_20190220.pdf,2018-12-01,2019-02-20,82,488.766,1614.567,2103.333,451.53
./electricity/elettricita_2019_02_20190201_20190418.pdf,2019-02-01,2019-04-18,77,76.489,768.258,844.747,197.7
./electricity/elettricita_2021_12_20211201_20211231.pdf,2021-12-01,2021-12-31,31,310.0,805.0,1115.0,385.83
./electricity/elettricita_2022_01_20220101_20220131.pdf,2022-01-01,2022-01-31,31,310.0,835.0,1145.0,482.68
./electricity/elettricita_2022_02_20220201_20220228.pdf,2022-02-01,2022-02-28,28,113.0,497.0,610.0,225.28
./electricity/elettricita_2022_03_20220301_20220331.pdf,2022-03-01,2022-03-31,31,54.0,380.0,434.0,159.76
./electricity/elettricita_2022_04_20220401_20220430.pdf,2022-04-01,2022-04-30,30,18.0,210.0,228.0,119.66
./electricity/elettricita_2022_05_20220501_20220531.pdf,2022-05-01,2022-05-31,31,8.0,111.0,119.0,64.03
./electricity/elettricita_2022_06_20220601_20220630.pdf,2022-06-01,2022-06-30,30,45.0,222.0,267.0,111.09
./electricity/elettricita_2022_07_20220701_20220731.pdf,2022-07-01,2022-07-31,31,1.0,100.0,101.0,61.04
./electricity/elettricita_2022_08_20220801_20220831.pdf,2022-08-01,2022-08-31,31,31.0,245.0,276.0,185.58
./electricity/elettricita_2022_09_20220901_20220930.pdf,2022-09-01,2022-09-30,30,31.0,177.0,208.0,170.9
./electricity/elettricita_2022_10_20221001_20221031.pdf,2022-10-01,2022-10-31,31,28.0,176.0,204.0,139.54
./electricity/elettricita_2022_11_20221101_20221130.pdf,2022-11-01,2022-11-30,30,147.0,463.0,610.0,211.82
./electricity/elettricita_2022_12_20221201_20221231.pdf,2022-12-01,2022-12-31,31,257.0,640.0,897.0,315.27
./electricity/elettricita_2023_06_20230601_20230621.pdf,2023-06-01,2023-06-21,21,91.0,182.0,273.0,91.51
./electricity/elettricita_2023_06_20230601_20230821.pdf,2023-06-01,2023-08-21,82,-53.987,170.142,116.155,87.26
./electricity/elettricita_2023_08_20230801_20231019.pdf,2023-08-01,2023-10-19,80,10.271,63.174,73.445,77.1
./electricity/elettricita_2023_10_20231001_20231221.pdf,2023-10-01,2023-12-21,82,306.41,877.905,1184.315,357.69
./electricity/elettricita_2023_12_20231201_20240220.pdf,2023-12-01,2024-02-20,82,384.621,1367.747,1752.368,483.95
./electricity/elettricita_2024_02_20240201_20240419.pdf,2024-02-01,2024-04-19,79,108.564,631.576,740.14,221.91
./electricity/elettricita_2024_04_20240401_20240620.pdf,2024-04-01,2024-06-20,81,27.035,85.033,112.068,86.21
./electricity/elettricita_2024_06_20240601_20240821.pdf,2024-06-01,2024-08-21,82,25.736,230.32,256.056,123.72
./electricity/elettricita_2024_08_20240801_20241018.pdf,2024-08-01,2024-10-18,79,140.459,611.334,751.793,242.48
./electricity/elettricita_2024_10_20241019_20241219.pdf,2024-10-19,2024-12-19,62,409.468,1160.602,1570.07,466.81
./electricity/elettricita_2024_12_20241220_20250220.pdf,2024-12-20,2025-02-20,63,531.033,1593.428,2124.461,657.26
./electricity/elettricita_2025_02_20250221_20250418.pdf,2025-02-21,2025-04-18,57,91.5,569.868,661.368,258.05
./electricity/elettricita_2025_04_20250419_20250531_2_sottobollette.pdf,2025-04-19,2025-05-31,43,8.785,63.258,72.043,50.68
./electricity/elettricita_2025_04_20250419_20250531_2_sottobollette.pdf,2025-06-01,2025-06-20,20,17.571,107.339,124.91,59.43
./electricity/elettricita_2025_06_20250621_20250821.pdf,2025-06-21,2025-08-21,62,36.637,232.32,268.957,125.08
