anno,settimana,data_centro,consumo_giornaliero,consumo_settimanale,giorni_coperti,num_periodi
2016,1,2016-01-07,,,0,0
2016,2,2016-01-14,,,0,0
2016,3,2016-01-21,,,0,0
2016,4,2016-01-28,,,0,0
2016,5,2016-02-04,,,0,0
2016,6,2016-02-11,,,0,0
2016,7,2016-02-18,,,0,0
2016,8,2016-02-25,,,0,0
2016,9,2016-03-03,,,0,0
2016,10,2016-03-10,,,0,0
2016,11,2016-03-17,,,0,0
2016,12,2016-03-24,,,0,0
2016,13,2016-03-31,,,0,0
2016,14,2016-04-07,,,0,0
2016,15,2016-04-14,,,0,0
2016,16,2016-04-21,,,0,0
2016,17,2016-04-28,,,0,0
2016,18,2016-05-05,,,0,0
2016,19,2016-05-12,,,0,0
2016,20,2016-05-19,,,0,0
2016,21,2016-05-26,,,0,0
2016,22,2016-06-02,,,0,0
2016,23,2016-06-09,,,0,0
2016,24,2016-06-16,,,0,0
2016,25,2016-06-23,,,0,0
2016,26,2016-06-30,7.677411764705883,53.74188235294118,4,1
2016,27,2016-07-07,7.677411764705883,53.74188235294118,7,1
2016,28,2016-07-14,7.677411764705883,53.74188235294118,7,1
2016,29,2016-07-21,7.677411764705883,53.74188235294118,7,1
2016,30,2016-07-28,7.677411764705883,53.74188235294118,7,1
2016,31,2016-08-04,6.478070079883806,90.69298111837328,14,2
2016,32,2016-08-11,6.478070079883806,90.69298111837328,14,2
2016,33,2016-08-18,6.278179799080125,75.33815758896151,12,2
2016,34,2016-08-25,5.278728395061728,36.9510987654321,7,1
2016,35,2016-09-01,5.278728395061728,36.9510987654321,7,1
2016,36,2016-09-08,5.278728395061728,36.9510987654321,7,1
2016,37,2016-09-15,5.278728395061728,36.9510987654321,7,1
2016,38,2016-09-22,5.278728395061728,36.9510987654321,7,1
2016,39,2016-09-29,5.278728395061728,36.9510987654321,7,1
2016,40,2016-10-06,5.278728395061728,36.9510987654321,7,1
2016,41,2016-10-13,9.495056352518402,113.94067623022082,12,2
2016,42,2016-10-20,11.718211093722829,128.90032203095112,11,2
2016,43,2016-10-27,15.397915492957745,107.78540845070421,7,1
2016,44,2016-11-03,15.397915492957745,107.78540845070421,7,1
2016,45,2016-11-10,15.397915492957745,107.78540845070421,7,1
2016,46,2016-11-17,15.397915492957745,107.78540845070421,7,1
2016,47,2016-11-24,15.397915492957745,107.78540845070421,7,1
