Settimana,Data Inizio,Data Fine,Consumo F1 (kWh),Consumo F2+F3 (kWh),Consumo Totale (kWh)
1,01/01/2024,07/01/2024,44.97,157.23,202.20
2,08/01/2024,14/01/2024,45.70,162.76,208.46
3,15/01/2024,21/01/2024,41.94,152.91,194.84
4,22/01/2024,28/01/2024,38.18,143.06,181.23
5,29/01/2024,04/02/2024,34.41,133.20,167.62
6,05/02/2024,11/02/2024,30.65,123.35,154.01
7,12/02/2024,18/02/2024,26.89,113.50,140.39
8,19/02/2024,25/02/2024,23.13,103.65,126.78
9,26/02/2024,03/03/2024,19.37,93.80,113.17
10,04/03/2024,10/03/2024,11.15,59.96,71.11
11,11/03/2024,17/03/2024,9.26,53.55,62.81
12,18/03/2024,24/03/2024,8.42,47.97,56.40
13,25/03/2024,31/03/2024,7.59,42.39,49.98
14,01/04/2024,07/04/2024,6.76,36.85,43.60
15,08/04/2024,14/04/2024,5.92,31.27,37.18
16,15/04/2024,21/04/2024,5.08,25.68,30.77
17,22/04/2024,28/04/2024,4.25,20.10,24.35
18,29/04/2024,05/05/2024,3.41,14.52,17.93
19,06/05/2024,12/05/2024,2.58,8.94,11.52
20,13/05/2024,19/05/2024,2.33,8.35,10.67
21,20/05/2024,26/05/2024,2.31,9.75,12.06
22,27/05/2024,02/06/2024,2.29,11.15,13.45
23,03/06/2024,09/06/2024,1.59,8.79,10.38
24,10/06/2024,16/06/2024,1.58,9.77,11.35
25,17/06/2024,23/06/2024,1.57,10.75,12.32
26,24/06/2024,30/06/2024,1.56,11.73,13.29
27,01/07/2024,07/07/2024,1.55,12.71,14.26
28,08/07/2024,14/07/2024,1.54,13.69,15.23
29,15/07/2024,21/07/2024,2.32,16.40,18.72
30,22/07/2024,28/07/2024,3.17,19.24,22.41
31,29/07/2024,04/08/2024,4.01,22.09,26.10
32,05/08/2024,11/08/2024,4.85,24.93,29.78
33,12/08/2024,18/08/2024,5.70,27.77,33.47
34,19/08/2024,25/08/2024,6.54,30.61,37.15
35,26/08/2024,01/09/2024,7.39,33.45,40.84
36,02/09/2024,08/09/2024,11.76,51.85,63.61
37,09/09/2024,15/09/2024,13.88,57.44,71.32
38,16/09/2024,22/09/2024,17.24,65.07,82.31
39,23/09/2024,29/09/2024,20.59,72.70,93.29
40,30/09/2024,06/10/2024,23.94,80.33,104.27
41,07/10/2024,13/10/2024,27.30,87.96,115.26
42,14/10/2024,20/10/2024,30.65,95.59,126.24
43,21/10/2024,27/10/2024,34.00,103.22,137.22
44,28/10/2024,03/11/2024,37.38,110.89,148.27
45,04/11/2024,10/11/2024,57.02,165.93,222.96
46,11/11/2024,17/11/2024,61.72,176.61,238.33
47,18/11/2024,24/11/2024,46.23,131.04,177.27
48,25/11/2024,01/12/2024,46.23,131.04,177.27
49,02/12/2024,08/12/2024,46.23,131.04,177.27
50,09/12/2024,15/12/2024,46.23,131.04,177.27
51,16/12/2024,22/12/2024,46.23,131.04,177.27
52,23/12/2024,29/12/2024,46.23,131.04,177.27
53,30/12/2024,31/12/2025,46.23,131.04,177.27
